title,value,id,object
Postcards Addressed to Walker Evans and Filed by the Artist with his Collection of Postcards,1900,Postcard,285177
"12 Postcards Sent by Walker Evans to 10 Recipients, Later Retrieved by the Artist and Filed with his Collection of Postcards",1900,Postcard,290366
"Papers, Annotated Index Cards, and Miscellaneous Notes Relating to Walker Evans's Collection of Postcards and Signs",1910,Manuscript Materials,289750
Avis Ferne in Hallway Before Radio Station Sign,1920,Photograph,282402
"Three Hundred Fifty-Six Items of Printed Ephemera Including Reproductions of Works of Art, Photographs, Newspaper and Magazine Clippings, Engravings, Advertisements, and Maps",1920,Ephemera,283322
"23 Undated Manuscript Notes and Fragments: Shooting Scripts and Subject Lists, Some Related to Unrealized Book and Film Projects, and Including Miscellaneous Lists of People",1920,Manuscript materials,281855
Brown Leather-Bound Address Book,1920,Address book,283404
Navy Leather-Bound Address Book,1920,Address book,283405
Red Leather-Bound Address Book,1920,Address book,283406
Navy Leather-Bound Address Book,1920,Address book,283407
Postcard from Peter Sekaer to Walker Evans and Filed by the Artist with his Collection of Postcards,1920,Postcard,291688
"71 Grouped Manuscript Notes on Index Cards: Subjects Including Caroline Freud, Ben Schultz, Diane Arbus, Steichen, Lists of People, ""To-Do"" Lists, Quotations",1920,Manuscript materials,281791
Black Leather-Bound Address Book,1920,Address book,283408
Black Spiral-Bound Address Book,1920,Address book,283409
Red Leather-Bound Notepad,1920,Notepad,283413
207 Items Relating to Walker Evans's Finances,1920,Manuscript materials,283432
"38 Manuscripts, Typescripts, Carbon Copies of Translations from French by Walker Evans of Gourmont, Baudelaire, Radiguet, Cendrars, Cocteau, Larbaud, Gide, Lautréamont, Dottin, and Others",1924,Manuscript materials,281790
"64 Manuscripts, Typescripts, and Carbons of Short Stories, Book Reviews, Poems, and Essays in English and French",1925,Manuscript materials,281812
"Album of Picture Press Clippings Titled ""Pictures of the Time: 1925–1935""",1925,Album,283320
Seventeen Letters and Notecard to Walker Evans from Seven Correspondents: Sedat Pakay to Alston Purvis,1925,Letters; Correspondence,281865
"Self-Portrait in Window, 5 rue de la Santè, Paris",1926,Photograph,267282
"Courtyard Window Showing Walker Evans's Apartment at 5, rue de la Santé, Paris",1926,Negative,272185
"Courtyard at 5, rue de la Santé, Paris",1926,Negative,272344
"Courtyard at 5, rue de la Santé, Paris",1926,Negative,272455
"16 Manuscripts, Typescripts, and Carbon Copies of Personal Essays Submitted as Homework Assignments in French for ""Cours de Civilisation Française"" at Collège de France, Paris",1926,Manuscript materials,281801
"Courtyard at 5, rue de la Santé, Paris",1926,Photograph,282805
"Four-Page Essay: ""Enquête""",1926,Manuscript materials,730024
"Pedestrian on Ramparts, Coastal Town, France",1926,Negative,272186
"Pedestrians on Ramparts, Coastal Town, France",1926,Negative,272245
"Cobblestone Street and Buildings, France",1926,Negative,272256
"Boulevard along the Mediterranean, Possibly Naples, Italy",1926,Negative,272788
"Boulevard along the Mediterranean, Possibly Naples, Italy",1926,Negative,272899
"Stone Farmhouse, France",1926,Negative,273010
"Stone Portal, France",1926,Negative,273118
"""Disgust in the boat train. // The taxi horns of Paris.""",1926,Manuscript materials,283728
"Baby, Possibly Anita Skolle, with String of Beads",1926,Negative,272288
"Baby, Possibly Anita Skolle",1926,Negative,272290
One Hundred Fifty-two Items of Correspondence from Hanns Skolle and Elizabeth Skolle to Walker Evans,1926,Letters; Correspondence,283341
"26 Manuscripts, Typescripts, and Carbon Copies of Drafts and Notes From the 1920s-30s: Trips to Europe, Tahiti, and Cuba, Various Commissions and Scenarios, RA/FSA Field Notes, Let Us Now Praise Famous Men Book Notes, and Miscellany",1926,Manuscript materials,281823
Seventeen Letters and Wedding Invitation to Walker Evans from Eight Correspondents,1926,Letters; Correspondence,281866
Self-Portrait,1927,Photograph,265594
"Villa ""Les Cyprès"" de St.-Jean, Juan-les-Pins, France",1927,Negative,272333
"Villa Seen from Across Field, Juan-les-Pins, France",1927,Negative,272345
"Hogs Feeding in Yard, Juan-les-Pins, France",1927,Negative,272356
"Lucien Jacques, André Maury, and Georgette Maury Seated and Reclining on Stone Wall, Provence, France",1927,Photograph,282363
"Walker Evans Jr. Standing Behind Gladiolas, Cleveland, Ohio",1927,Photograph,282389
"Walker Evans, André and Georgette Maury Seated at Outdoor Table, Juan-les-Pins, France",1927,Photograph,282806
"Short Story: ""Frederick and Marie""",1927,Manuscript materials,283749
"Baby, Possibly Anita Skolle, Child of Hanns and Lily Skolle",1927,Photograph,282393
Avis Ferne in Hallway Before Radio Station Sign,1927,Negative,272293
Woman (Left Profile),1927,Negative,272294
"Woman in Hat, Possibly Avis Ferne, Looking Upward",1927,Negative,272295
"Woman, Possibly Avis Ferne (Left Profile)",1927,Negative,272296
