id,value,object
Postcard,1900,285177
Postcard,1900,290366
Manuscript Materials,1910,289750
Photograph,1920,282402
Ephemera,1920,283322
Manuscript materials,1920,281855
Address book,1920,283404
Address book,1920,283405
Address book,1920,283406
Address book,1920,283407
Postcard,1920,291688
Manuscript materials,1920,281791
Address book,1920,283408
Address book,1920,283409
Notepad,1920,283413
Manuscript materials,1920,283432
Manuscript materials,1924,281790
Manuscript materials,1925,281812
Album,1925,283320
Letters/ Correspondence,1925,281865
Photograph,1926,267282
Negative,1926,272185
Negative,1926,272344
Negative,1926,272455
Manuscript materials,1926,281801
Photograph,1926,282805
Manuscript materials,1926,730024
Negative,1926,272186
Negative,1926,272245
Negative,1926,272256
Negative,1926,272788
Negative,1926,272899
Negative,1926,273010
Negative,1926,273118
Manuscript materials,1926,283728
Negative,1926,272288
Negative,1926,272290
Letters/ Correspondence,1926,283341
Manuscript materials,1926,281823
Letters/ Correspondence,1926,281866
Photograph,1927,265594
Negative,1927,272333
Negative,1927,272345
Negative,1927,272356
Photograph,1927,282363
Photograph,1927,282389
Photograph,1927,282806
Manuscript materials,1927,283749
Photograph,1927,282393
Negative,1927,272293
Negative,1927,272294
Negative,1927,272295
Negative,1927,272296
Negative,1927,272297
Photograph,1928,265145
Photograph,1928,265445
Photograph,1928,271994
Negative,1928,272308
Negative,1928,272315
Negative,1928,272414
Negative,1928,272644
Negative,1928,272822
Negative,1928,285590
Negative,1928,285591
Photograph,1928,260639
Photograph,1928,260674
Photograph,1928,260675
Photograph,1928,265185
Photograph,1928,265477
Photograph,1928,265478
Photograph,1928,265483
Photograph,1928,266016
Photograph,1928,266245
Photograph,1928,266246
Negative,1928,272319
Negative,1928,272320
Negative,1928,272321
Negative,1928,272323
Negative,1928,272324
Negative,1928,272325
Negative,1928,272326
Negative,1928,272327
Negative,1928,272328
Negative,1928,272329
Negative,1928,272330
Negative,1928,272331
Negative,1928,272332
Negative,1928,272334
Negative,1928,272335
Negative,1928,272336
Negative,1928,272337
Negative,1928,272338
Negative,1928,272339
Negative,1928,272340
Negative,1928,272341
Negative,1928,272342
Negative,1928,272343
Negative,1928,272346
Negative,1928,272347
Negative,1928,272348
Negative,1928,272349
Negative,1928,272350
Negative,1928,272351
Negative,1928,272352
Negative,1928,272353
Negative,1928,272354
Negative,1928,272355
Negative,1928,272357
Negative,1928,272358
Negative,1928,272359
Negative,1928,272360
Negative,1928,272361
Negative,1928,272362
Negative,1928,272363
Negative,1928,272364
Negative,1928,272365
Negative,1928,272366
Negative,1928,272368
Negative,1928,272369
Negative,1928,272370
Negative,1928,272371
Negative,1928,272372
Negative,1928,272373
Negative,1928,272374
Negative,1928,272375
Negative,1928,272376
Negative,1928,272377
Negative,1928,272379
Negative,1928,272380
Negative,1928,272381
Negative,1928,272382
Negative,1928,272383
Negative,1928,272384
Negative,1928,272385
Negative,1928,272386
Negative,1928,272387
Negative,1928,272388
Negative,1928,272395
Negative,1928,272396
Negative,1928,277713
Negative,1928,278562
Negative,1928,278611
Negative,1928,278657
Negative,1928,278709
Negative,1928,278759
Negative,1928,278810
Negative,1928,278861
Negative,1928,278907
Negative,1928,278944
Negative,1928,279196
Negative,1928,279220
Manuscript materials,1928,283747
Manuscript materials,1928,283750
Negative,1928,285497
Negative,1928,285585
Negative,1928,285587
Negative,1928,285589
Negative,1928,285592
Negative,1928,285594
Negative,1928,285595
Negative,1928,285596
Negative,1928,285599
Negative,1928,285600
Negative,1928,285603
Photograph,1928,286604
Photograph,1928,286686
Photograph,1928,259983
Photograph,1928,259984
Photograph,1928,259985
Photograph,1928,259987
Photograph,1928,259989
Photograph,1928,259991
Photograph,1928,259992
Negative,1928,272209
Negative,1928,272218
Negative,1928,272219
Negative,1928,272220
Negative,1928,272221
Negative,1928,272222
Negative,1928,272231
Negative,1928,272240
Negative,1928,272261
Negative,1928,272262
Negative,1928,272263
Negative,1928,272264
Negative,1928,272265
Negative,1928,272266
Negative,1928,272268
Negative,1928,272269
Negative,1928,272270
Negative,1928,272271
Negative,1928,272273
Negative,1928,272274
Negative,1928,272275
Negative,1928,272276
Negative,1928,272284
Negative,1928,272285
Negative,1928,272286
Negative,1928,272287
Negative,1928,272291
Negative,1928,272292
Negative,1928,272298
Negative,1928,272299
Negative,1928,272301
Negative,1928,272302
Negative,1928,272303
Negative,1928,272304
Negative,1928,272305
Negative,1928,272390
Negative,1928,272391
Negative,1928,272392
Negative,1928,272400
Negative,1928,272401
Negative,1928,272411
Negative,1928,272412
Negative,1928,272413
Negative,1928,272415
Negative,1928,272416
Negative,1928,272417
Negative,1928,272418
Negative,1928,272419
Negative,1928,272420
Negative,1928,272421
Negative,1928,272422
Negative,1928,272423
Negative,1928,272424
Negative,1928,272425
Negative,1928,272426
Negative,1928,272427
Negative,1928,272435
Negative,1928,272436
Negative,1928,272437
Negative,1928,272438
Negative,1928,272439
Negative,1928,272444
Negative,1928,272450
Negative,1928,272451
Negative,1928,272452
Negative,1928,272453
Negative,1928,272456
Negative,1928,272467
Negative,1928,272471
Negative,1928,272478
Negative,1928,272489
Negative,1928,272494
Negative,1928,272495
Negative,1928,272497
Negative,1928,272498
Negative,1928,272499
Negative,1928,272501
Negative,1928,272502
Negative,1928,272503
Negative,1928,272504
Negative,1928,272505
Negative,1928,272506
Negative,1928,272507
Negative,1928,272511
Negative,1928,272521
Negative,1928,272522
Negative,1928,272523
Negative,1928,272524
Negative,1928,272525
Negative,1928,272526
Negative,1928,272527
Negative,1928,272528
Negative,1928,272529
Negative,1928,272530
Negative,1928,272531
Negative,1928,272532
