id,value
[Postcards Addressed to Walker Evans and Filed by the Artist with his Collection of Postcards],1900
"[12 Postcards Sent by Walker Evans to 10 Recipients, Later Retrieved by the Artist and Filed with his Collection of Postcards]",1900
"[Papers, Annotated Index Cards, and Miscellaneous Notes Relating to Walker Evans's Collection of Postcards and Signs]",1910
[Avis Ferne in Hallway Before Radio Station Sign],1920
"[Three Hundred Fifty-Six Items of Printed Ephemera Including Reproductions of Works of Art, Photographs, Newspaper and Magazine Clippings, Engravings, Advertisements, and Maps]",1920
"[23 Undated Manuscript Notes and Fragments: Shooting Scripts and Subject Lists, Some Related to Unrealized Book and Film Projects, and Including Miscellaneous Lists of People]",1920
[Brown Leather-Bound Address Book],1920
[Navy Leather-Bound Address Book],1920
[Red Leather-Bound Address Book],1920
[Navy Leather-Bound Address Book],1920
[Postcard from Peter Sekaer to Walker Evans and Filed by the Artist with his Collection of Postcards],1920
"[71 Grouped Manuscript Notes on Index Cards: Subjects Including Caroline Freud, Ben Schultz, Diane Arbus, Steichen, Lists of People, ""To-Do"" Lists, Quotations]",1920
[Black Leather-Bound Address Book],1920
[Black Spiral-Bound Address Book],1920
[Red Leather-Bound Notepad],1920
[207 Items Relating to Walker Evans's Finances],1920
"[38 Manuscripts, Typescripts, Carbon Copies of Translations from French by Walker Evans of Gourmont, Baudelaire, Radiguet, Cendrars, Cocteau, Larbaud, Gide, Lautréamont, Dottin, and Others]",1924
"[64 Manuscripts, Typescripts, and Carbons of Short Stories, Book Reviews, Poems, and Essays in English and French]",1925
"[Album of Picture Press Clippings Titled ""Pictures of the Time: 1925–1935""",1925
[Seventeen Letters and Notecard to Walker Evans from Seven Correspondents: Sedat Pakay to Alston Purvis],1925
"[Self-Portrait in Window, 5 rue de la Santè, Paris]",1926
"[Courtyard Window Showing Walker Evans's Apartment at 5, rue de la Santé, Paris]",1926
"[Courtyard at 5, rue de la Santé, Paris]",1926
"[Courtyard at 5, rue de la Santé, Paris]",1926
"[16 Manuscripts, Typescripts, and Carbon Copies of Personal Essays Submitted as Homework Assignments in French for ""Cours de Civilisation Française"" at Collège de France, Paris]",1926
"[Courtyard at 5, rue de la Santé, Paris]",1926
"[Four-Page Essay: ""Enquête""]",1926
"[Pedestrian on Ramparts, Coastal Town, France]",1926
"[Pedestrians on Ramparts, Coastal Town, France]",1926
"[Cobblestone Street and Buildings, France]",1926
"[Boulevard along the Mediterranean, Possibly Naples, Italy]",1926
"[Boulevard along the Mediterranean, Possibly Naples, Italy]",1926
